Province,District,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,EHR Version,Activation Status,EHR Type,IP Address,Implementing Partner,Type,Ownership,Location,Level,Status
Manicaland,Chipinge,Chipinge,Chipinge Town Clinic,Chipinge Town - 100257 - Clinic,Z3mLXNOy7eM,ZW010349,ZW01,,,,,,,RDC,Town/City Council,Urban,Primary,Open
Masvingo,Chiredzi,Chiredzi,Chipiwa Clinic,Chipiwa - 100259 - Clinic,lgDPtblnWoX,ZW080226,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Rural Council,Rural,Primary,Open
Masvingo,Zaka,Zaka,Chiredzana Clinic,Chiredzana - 100263 - Clinic,m1d3Az0zvDK,ZW080729,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Rural Council,Rural,Primary,Open
Masvingo,Chiredzi,Chiredzi,Chiredzi District Hospital,Chiredzi - 100264 - Hospital,cnqg74tvFv1,ZW08020A,ZW08,,,,,192.168.10.1,OPHID/Kapinek,General Hospital,Government,Urban,Secondary,Open
Mash West,Sanyati,Sanyati,Chirikiti - 100267 - Council Clinic,Chirikiti - 100267 - Council Clinic,zdRJRa8PBvL,ZW040621,ZW04,,,,,,ZIMTTECH,,,,,
Masvingo,Mwenezi,Mwenezi,Chirindi Rural Health Centre,Chirindi - 100268 - Clinic,KGODrJyUU0d,ZW080602,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Government,Rural,Primary,Open
Masvingo,Chivi,Chivi,Chirogwe Clinic,Chirongwe - 100272 - Clinic,PwTUs91whQ3,ZW080321,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Mash West,Hurungwe,Hurungwe,Chirundu Rural Health Centre,Chirundu - 100275 - Clinic,xgDkjMab2vS,ZW040201,ZW04,,,,,,ZIMTTECH,RHC,Government,Rural,Primary,Open
Mashonaland Central,Mbire,Mbire,Chirunya Clinic,Chirunya - 100276 - Rural Health Centre,MTFVtgDQ96i,ZW020834,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,Primary,Open
Manicaland,Mutare,Mutare,Chishingwi Clinic,Chishingwi - 100279 - Clinic,CzT0kz8uz7m,ZW010543,ZW01,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Manicaland,Mutare,Mutare,Chitaka,Chitaka - 100284 - Clinic,AsdXd0AoGXL,ZW010534,ZW01,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Manicaland,Mutare,Mutare,Chitakatira Clinic,Chitakatira - 100285 - Clinic,RyINk05jngO,ZW010529,ZW01,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,Open
Masvingo,Gutu,Gutu,Chitando Rural Health Centre,Chitando - 100287 - Rural Health Centre,lO6DFAvjICL,ZW080408,ZW08,,,,,192.168.10.1,OPHID/Kapinek,Rural Hospital,Government,Rural,Primary,Open
Midlands,Gokwe South,Gokwe South,Chitapo Clinic,Chitapo - 100288 - Clinic,G3LAK7vc8u9,ZW070307,ZW07,,,,,,ZHI,RDC,Rural Council,Rural,Primary,
Mashonaland East,Murewa,Murewa,Chitate Rural Health Centre,Chitate - 100290 - Rural Health Centre,eG8FExPZMv1,ZW030701,ZW03,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,clinic,Active
Mashonaland Central,Mt Darwin,Mt Darwin,CHITEPO,Chitepo - 100292 - Clinic,iizFNeVVhBs,ZW020535,ZW02,,,,,192.168.10.1,ZIMTTECH,COUNCIL CLINIC,COUNCIL,Rural,Primary,Open
Mashonaland East,UMP,UMP,Chitimbe Clinic,Chitimbe - 100293 - Clinic,VUCULT4GjUW,ZW030328,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Manicaland,Mutare,Mutare,Chitora Clinic,Chitora - 100296 - Clinic,wXnCifW3qRh,ZW010518,ZW01,,,,,,ZHI,Mission Clinic,Mission,Rural,Primary,Open
Mashonaland East,Murewa,Murewa,Chitowa 1 Clinic,Chitowa 1 - 100298 - Rural Health Centre,aVxN3fDFGhM,ZW030723,ZW03,,,,,,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Mashonaland East,Murewa,Murewa,Chitowa 2 Clinic,Chitowa 2 - 100299 - Clinic,LHSm0lh6M97,ZW030724,ZW03,,,,,,ZIMTTECH,RHC,Rural Council,Rural,clinic,Active
Masvingo,Chiredzi,Chiredzi,Chitsa Clinic,Chitsa - 100300 - Clinic,Z2jeuNuhkJQ,ZW080232,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Mashonaland Central,Mt Darwin,Mt Darwin,CHITSE,Chitse - 100302 - Clinic,ezrtbyWSQiW,ZW020534,ZW02,,,,,,,COUNCIL CLINIC,COUNCIL,Rural,Primary,Open
Mashonaland East,UMP,UMP,Chitsungo Clinic,Chitsungo - 100304 - Clinic,oIYkbx5fHc7,ZW030329,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Mashonaland Central,Mbire,Mbire,Chitsungo Mission Hospital,Chitsungo - 100303 - District Hospital,bD6z1vyugsJ,ZW02080B,ZW02,,,,,192.168.10.1,ZACC,Mission Hospital,Mission,Rural,Secondary,Open
Mashonaland West,Hurungwe,Hurungwe,Chivende Rural Health Centre,Chivende - 100311 - Clinic,p5eSg7zH2Ua,ZW040202,ZW04,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,Primary,Open
Mashonaland West,Chegutu,Chegutu,Chivero Clinic,Chivero - 100312 - Council Clinic,WlGebuwqSYe,ZW040126,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Mash West,Zvimba,Zvimba,Chivhere Rural Health Centre,Chivhere - 100314 - Clinic,NEEMoSMYjkl,ZW040701,ZW04,,,,,,ZIMTTECH,RHC,Government,Rural,Primary,RURAL
Masvingo,Chivi,Chivi,Chivi District Hospital,Chivi - 100317 - District Hospital,laeJBf3k7tI,ZW08030A,ZW08,,,,,10.39.9.10,OPHID/Kapinek,District Hospital,Government,Rural,Secondary,Open
Masvingo,Chivi,Chivi,Chivi Mission Clinic,Chivi - 100318 - Mission Clinic,ZPy0zZuQJHc,ZW080391,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Mission,Rural,Primary,Open
Masvingo,Chivi,Chivi,Chivi Rural Hospital,Chivi - 100319 - Rural Hospital,BbcsNsBiQJM,ZW08030B,ZW08,,,,,10.39.10.10,OPHID/Kapinek,Rural Hospital,Government,Rural,Primary,Open
Manicaland,Mutare,Mutare,Chiwere Clinic,Chiwere - 100323 - Rural Health Centre,h22FuA9Lid3,ZW010508,ZW01,,,,,,,RHC,Government,Rural,Primary,Open
Manicaland,Buhera,Buhera,Chiweshe,Chiweshe - 100324 - Clinic,JXKy9DJE3gm,ZW010131,ZW01,,,,,192.168.10.2,ZHI,RDC,Rural Council,Rural,Primary,Open
Masvingo,Gutu,Gutu,Chiwore Rural Health Centre,Chiwore - 100325 - Clinic,oqJB2RrFjGD,ZW080434,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Midlands,Gweru,Gweru,Chiwundura Clinic,Chiundura - 100309 - Clinic,UcsFwpVoOEX,ZW070425,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,
Masvingo,Mwenezi,Mwenezi,Chizumba Rural Health Centre,Chizumba - 100328 - Clinic,fil4aqGSpkM,ZW080603,ZW08,,,,,,,RHC,Government,Rural,Primary,Open
Masvingo,Chiredzi,Chiredzi,Chizvirizvi Rural Health Centre,Chizvirizvi - 100329 - Clinic,c4XotWaksY0,ZW080204,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Government,Rural,Primary,Open
Masvingo,Chiredzi,Chiredzi,Chompani Clinic,Chomopani - 100330 - Clinic,V7g1YWWJjww,ZW080235,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Mashonaland Central,Mazowe,Mazowe,Christon Bank,Christon Bank - 100332 - Clinic,FOS62YkMuso,ZW020430,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Council,Farming,Primary,Open
Mashonaland West,Hurungwe,Hurungwe,Chundu Clinic,Chundu - 100334 - Council Clinic,YcnSBJxA8OR,ZW040226,ZW04,,,,,10.67.24.2,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Manicaland,Chipinge,Chipinge,Clearwater Clinic,Clear Water - 100341 - Clinic,hLbmGUUNsKW,ZW010362,ZW01,,,,,192.168.10.2,ZHI,RDC,Private,Rural,Primary,Open
Mashonaland Central,Mazowe,Mazowe,CONCESSION,Concession - 100345 - District Hospital,SihUCg36v0Y,ZW02040A,ZW02,,,,,10.71.4.10,ZIMTTECH,District Hospital,Gvt,Urban,Secondary,Open
Bulawayo,Emakandeni,Bulawayo,Cowdray Park Clinic,Cowdray Park - 100348 - Clinic,AQUWX00pVHC,ZW090A27,ZW09,,,,,30.30.31.3,Ophid,General Hospital,Town/City Council,Urban,Primary,Open
Mashonaland Central,Mazowe,Mazowe,CRANHAM,Cranham - 100351 - Clinic,hqCNPGSdIvI,ZW020491,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Council,Farming,Primary,Open
Mash West,Mhondoro,Mhondoro,Cuba RDC Clinic,Cuba RDC Clinic,ljDQKOHpFdV,ZW040527,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Matabeleland South,Matobo,Matobo,Cyrene Mission Clinic,Cyrene - 100354 - Mission Clinic,jxSgfvRa1kd,ZW060594,ZW06,,,,,192.168.10.1,Ophid,Mission Clinic,Mission,Rural,,
Matabeleland North,Nkayi,Nkayi,Dakamela Rural Hospital,Dakamela - 100357 - Rural Hospital,t3OBvsoUoKO,ZW05050B,ZW05,,,,,,,Rural Hospital,Government,Rural,Secondary,Open
Masvingo,Chiredzi,Chiredzi,Damarakanaka Clinic,Damarakanaka - 100358 - Clinic,zEztqtVfvls,ZW080291,ZW08,,,,,,,RHC,Mission,Rural,Primary,Open
Masvingo,Gutu,Gutu,Dambara Clinic,Dambara - 100360 - Clinic,TBPY2CXSDF6,ZW080437,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Mashonaland Central,Mazowe,Mazowe,DAMBO,Dambo - 100361 - Clinic,XoF377WoLf2,ZW020484,ZW02,,,,,,,RHC,Council,Rural,Primary,Open
Midlands,Kwekwe,Kwekwe,Dambridge Clinic,Dambridge - 100362 - Clinic,dMwOTm1TWlM,ZW070588,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,
Matabeleland North,Lupane,Lupane,Dandanda Rural Health Centre,Dandanda - 100364 - Clinic,zVFAdwFdTqT,ZW050402,ZW05,,,,,10.89.13.27,ZIMTTECH,RHC,Government,Rural,Primary,Open
Manicaland,MutareCity,Mutare,Dangamvura Clinic,Dangamvura - 100366 - Clinic,cr9XgOrqJwk,ZW010563,ZW01,,,,,192.168.10.1,ZHI,General Hospital,Town/City Council,Urban,Primary,Open
Mashonaland West,Zvimba,Zvimba,Darwendale Rural Hospital,Darwendale - 100368 - Rural Hospital,NfFDWgYghbO,ZW04070C,ZW04,,,,,10.67.6.3,ZIMTTECH,Rural Hospital,Government,Peri-Urban,Primary,RURAL
Mashonaland Central,Mt Darwin,Mt Darwin,DARWIN HOSPITAL,Mt. Darwin - 101058 - District Hospital,HB7NldDkyx4,ZW02050A,ZW02,,,,,10.71.9.10,ZIMTTECH,GOVERNMENT HOSPITAL,GOVERNMENT,Urban,Secondary,Open
Mashonaland Central,Mazowe,Mazowe,DAVAAR,Davaar - 100369 - Clinic,Yg65gRsms6Z,ZW020410,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Council,Farming,Primary,Open
Masvingo,Chiredzi,Chiredzi,Davata Rural Health Centre,Davata - 100370 - Clinic,TWQYlcVIUbh,ZW080205,ZW08,,,,,,,RHC,Government,Rural,Primary,Open
Masvingo,Chivi,Chivi,Davira Clinic,Davira - 100374 - Clinic,aGhPTFxnILJ,ZW080326,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Midlands,Kwekwe,Kwekwe,Dendera Rural Health Centre,Dendera - 100377 - Rural Hospital,F2rElAKbgv8,ZW070501,ZW07,,,,,,ZHI,RHC,Government,Rural,Primary,
Masvingo,Gutu,Gutu,Denhere Clinic,Denhere - 100380 - Clinic,E2KrijxLbKp,ZW080426,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Mashonaland East,UMP,UMP,Dewe Council Clinic,Dewe - 100389 - Clinic,nSvEwzl9xRr,ZW030338,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Masvingo,Gutu,Gutu,Dewure Clinic,Devure - 100387 - Mission Clinic,VYPAMdNSEQf,ZW080427,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Rural Council,Rural,Primary,Open
Mashonaland East,Marondera,Marondera,Dimbiti Rural Health Centre,Dimbiti - 100390 - Rural Health Centre,cxkXNo5Bctw,ZW030503,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,clinic,Active
Mashonaland East,UMP,UMP,Dindi Clinic,Dindi - 100392 - Mission Hospital,H4QiZSaiFt1,ZW030391,ZW03,,,,,192.168.10.1,ZIMTTECH,RDC,Mission,Rural,clinic,Active
Matabeleland South,Mangwe,Mangwe,Dingumuzi Clinic,Dingumuzi - 100394 - Clinic,YaLsThHfLT9,ZW060745,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Urban,,
Matabeleland North,Tsholotsho,Tsholotsho,Dlamini Clinic,Dlamini - 100396 - Council Clinic,CS6Fp5VYQVZ,ZW050626,ZW05,,,,,,ZIMTTECH,RDC,Town/City Council,Rural,Primary,Open
Mashonaland West,Makonde,Makonde,Doma RDC Clinic,Doma - 100397 - Clinic,QkRUl86fEkn,ZW040445,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Matabeleland South,Bulilima,Bulilima,Dombodema Clinic,Dombodema Clinic,D79NwzzVJYp,ZW060225,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Mashonaland East,Goromonzi,Goromonzi,Domboshava Rural Health Centre,Domboshava - 100400 - Clinic,YSrqcKlCQUf,ZW030202,ZW03,,,,,172.16.10.1,ZIMTTECH,RDC,Government,Peri-Urban,clinic,Active
Mashonaland East,Marondera,Marondera,Dombotombo Council Clinic,Dombotombo - 100401 - Clinic,oKyc3dnc5sJ,ZW030561,ZW03,,,,,10.79.23.250,ZIMTTECH,RHC,Town/City Council,Rural,clinic,Active
Mash West,Chegutu,Chegutu,Dombwe Clinic,Dombwe - 100403 - Clinic,y1o5Gm53ye5,ZW040146,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Mashonaland West,Mhondoro,Mhondoro,Donain Rural Health Centre,Donain - 100405 - Rural Health Centre,yraPEOZeIxX,ZW040502,ZW04,,,,,192.168.10.1,ZIMTTECH,RHC,Government,Rural,Primary,Open
Mashonaland Central,Mazowe,Mazowe,DONJE,Donje - 100409 - Clinic,x9pJIfSTTaY,ZW020406,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Council,Farming,Primary,Open
Midlands,Kwekwe,Kwekwe,Donjuan Clinic,Don Juan - 100404 - Clinic,k4sThzc4zIy,ZW070525,ZW07,,,,,,ZHI,RDC,Rural Council,Rural,Primary,
Midlands,Kwekwe,Kwekwe,Donsa,Donsa - 100410 - Clinic,tFiCFVJ3KLP,ZW070502,ZW07,,,,,,ZHI,,,,,
Manicaland,Mutare,Mutare,Dora Clinic,Dora - 100411 - Clinic,OdVIpeFRpxI,ZW010541,ZW01,,,,,192.168.10.2,ZHI,RDC,Rural Council,Rural,Primary,Open
Mashonaland West,Hurungwe,Hurungwe,Doro Clinic,Doro - 100413 - Clinic,hJfPQt6G26t,ZW040299,ZW04,,,,,192.168.10.1,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Mashonaland Central,Mt Darwin,Mt Darwin,DOTITO,Dotito - 100416 - Clinic,LcUXPpHZu3n,ZW020501,ZW02,,,,,10.71.21.10,ZIMTTECH,GOVERNMENT CLINIC,GOVERNMENT,Rural,Primary,Open
Bulawayo,Nkulumane,Bulawayo,Dr Shennan Clinic,Dr. Shennan - 100418 - Clinic,gs4v5i69tux,ZW090A14,ZW09,,,,,,,Clinic,Town/City Council,Urban,Primary,Open
Matabeleland South,Umzingwane,Umzingwane,Dula Clinic,Dula Clinic,B9HL312kFTS,ZW060635,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Matabeleland South,Beitbridge,Beitbridge,Dulibadzimu Clinic,Dulibadzimu - 100423 - Clinic,cLOvKUEH5RN,ZW060126,ZW06,,,,,,,RDC,Town/City Council,Urban,,
Masvingo,Chiredzi,Chiredzi,Dumisa Clinic,Dumisa - 100425 - Clinic,jRF48ebIi8o,ZW080228,ZW08,,,,,,,RHC,Rural Council,Rural,Primary,Open
Mashonaland West,Zvimba,Zvimba,Dzivaresekwa gvt Clinic,Dzivarasekwa Extension - 100428 - Clinic,XwzKYKZooxk,ZW040780,ZW04,,,,,192.168.1.10,ZIMTTECH,RHC,Government,Urban,Primary,TOWN
Bulawayo,Northern Surbubs,Bulawayo,EF Watson Clinic,E.F. Watson - 100429 - Clinic,oZk9I1XeSu9,ZW090A03,ZW09,,,,,30.30.14.3,Ophid,Clinic,Private,Urban,Primary,Open
Matabeleland South,Matobo,Matobo,Ekukhanyeni Clinic,Ekukanyeni - 100439 - Clinic,RsSbNZR2lnR,ZW060505,ZW06,,,,,192.168.10.1,Ophid,RDC,Town/City Council,Rural,,
Bulawayo,Emakandeni,Bulawayo,Emakhandeni Clinic,Emakhandeni - 100443 - Clinic,cIHo19pHPnw,ZW090A01,ZW09,,,,,10.9.12.3,Ophid,Clinic,Town/City Council,Urban,Primary,Open
Matabeleland South,Mangwe,Mangwe,Embakwe Mission Hospital,Embakwe - 100444 - Mission Hospital,csZvGNTFp2K,ZW06070E,ZW06,,,,,193.168.0.1,Ophid,Mission Clinic,Mission,Rural,,
Bulawayo,Northern Surbubs,Bulawayo,Emgwaninini,,ZW090A65,ZW090A65,ZW09,,,,,192.168.1.254,Ophid,,,,,
Matabeleland South,Mangwe,Mangwe,Empandeni Mission Clinic,Empandeni - 100445 - Clinic,JOr33aW1Qul,ZW060792,ZW06,,,,,192.168.10.1,Ophid,Mission Clinic,Mission,Rural,,
Bulawayo,Northern Surbubs,Bulawayo,Entumbane Clinic,Entumbane - 100449 - Clinic,KIAW84qSifO,ZW090A04,ZW09,,,,,192.168.1.3,Ophid,Clinic,Private,Urban,Primary,Open
Mashonaland East,Seke,Seke,Epworth Mission Clinic,Epworth - 100452 - Mission Clinic,EC7WzIzlIiy,ZW030990,ZW03,,,,,10.79.34.1,ZIMTTECH,Mission Clinic,Mission,Urban,clinic,Active
Mashonaland East,Seke,Seke,Epworth Polyclinic,Epworth - 100451 - Poly Clinic,Dr2dULfqvTS,ZW030926,ZW03,,,,,,ZIMTTECH,RHC,Town/City Council,Urban,clinic,Active
Matabeleland South,Umzingwane,Umzingwane,Esibomvu Clinic,Esibobvu - 100455 - Clinic,SjvPWQ5l2gT,ZW060625,ZW06,,,,,10.84.17.3,Ophid,RDC,Rural Council,Rural,,
Matabeleland South,Umzingwane,Umzingwane,Esigodini District Hospital,Esigodini - 100456 - District Hospital,EJIkhGYlQVb,ZW06060A,ZW06,,,,,10.84.6.3,Ophid,District Hospital,Government,Rural,,
Midlands,Kwekwe,Kwekwe,Exchange Clinic,Exchange - 100457 - Clinic,NGyX8ov4BLC,ZW070526,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,
Mat North,Bubi,Bubi,Fasinoni,Fanison - 100461 - Rural Health Centre,UhdvTazmVfs,ZW050225,ZW05,,,,,,ZIMTTECH,,,,,
Mashonaland West,Zvimba,Zvimba,Father O'Hea Mission Hospital,Father O'Hea - 100463 - Mission Hospital,pw6aAMuYZOz,ZW04070E,ZW04,,,,,10.67.7.2,ZIMTTECH,Mission Hospital,Mission,Rural,Secondary,RURAL
Masvingo,Chiredzi,Chiredzi,Faversham Clinic,Faversham - 100465 - Clinic,fHlFvOJjEZa,ZW080211,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Government,Rural,Primary,Open
Manicaland,MutareCity,Mutare,Fern Valley Clinic,Fernvalley - 100466 - Clinic,OcGPckc3QEu,ZW010566,ZW01,,,,,,ZHI,General Hospital,Town/City Council,Urban,Primary,Open
Matabeleland South,Insiza,Insiza,Filabusi District Hospital,Filabusi - 100468 - District Hospital,nTq5H4A7Lyc,ZW06040A,ZW06,,,,,,Ophid,District Hospital,Government,Urban,,
Manicaland,MutareCity,Mutare,Florida Clinic,Florida - 100472 - Clinic,GmBfBIZu0RH,ZW010565,ZW01,,,,,192.168.10.2,ZHI,General Hospital,Town/City Council,Urban,Primary,Open
Manicaland,Mutare,Mutare,Forbes Boarder Clinic,Forbes Boarder Clinic,usnQnNvOVYO,ZW010569,ZW01,,,,,,ZHI,RHC,Government,Urban,Primary,Open
Mashonaland Central,Mazowe,Mazowe,FORRESTER,Forrester - 100476 - Clinic,B0qok3j6tWR,ZW020485,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Pvt,Farming,Primary,Open
Masvingo,Zaka,Zaka,Fube Clinic,Fuve - 100480 - Clinic,ifRp2NyE9bf,ZW080730,ZW08,,,,,,,RHC,Government,Rural,Primary,Open
Matabeleland South,Matobo,Matobo,Fumugwe,Fumugwe - 100479 - Clinic,QBWN4VDaKc9,ZW060506,ZW06,,,,,192.168.10.1,Ophid,RDC,Town/City Council,Rural,,
Masvingo,Mwenezi,Mwenezi,G and N Clinic,G&N Clinic - 100481 - Clinic,xXvAFa6LVPB,ZW080683,ZW08,,,,,,,RHC,Private,Rural,Primary,Open
Midlands,Mberengwa,Mberengwa,Gaha Clinic,Gaha - 100482 - Clinic,dAuWnsrDRVU,ZW070676,ZW07,,,,,192.168.10.1,ZHI,RDC,Rural Council,Rural,Primary,Open
Manicaland,Buhera,Buhera,Garamwera,Garamwera - 100489 - Clinic,g9SCxKLS1Rl,ZW010118,ZW01,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Matabeleland South,Gwanda,Gwanda,Garanyemba Clinic,Garanyemba - 100490 - Clinic,bB4csCSIDEn,ZW060331,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Mash West,Mhondoro,Mhondoro,Gavhunga - 100496 - Clinic,Gavhunga - 100496 - Clinic,GKhq9nMgfU9,ZW040519,ZW04,,,,,,ZIMTTECH,,,,,
Harare,Harare,Harare,Gazaland Comm Post,,ZW010347,ZW010347,ZW01,,,,,192.168.1.254,Ophid,,,,,
Masvingo,Chiredzi,Chiredzi,Gezani Rural Health Centre,Gezani - 100502 - Clinic,FZFi6UbvoAK,ZW080206,ZW08,,,,,,,RHC,Government,Rural,Primary,Open
Mash West,Makonde,Makonde,Godzi RDC Clinic,Godzi - 100510 - Clinic,aioy3H77jLx,ZW040409,ZW04,,,,,,ZIMTTECH,RDC,Rural Council,Rural,Primary,Open
Masvingo,Masvingo,Masvingo,Gokomere Mission Clinic,Gokomere - 100512 - Clinic,vQIAHTp5Tc7,ZW08050E,ZW08,,,,,,,Clinic,Mission,Rural,Primary,Open
Midlands,Gokwe South,Gokwe South,Gokwe South District Hospital,Gokwe - 100513 - District Hospital,OrydhbKFg8H,ZW07030A,ZW07,,,,,10.54.7.250,ZHI,District Hospital,Government,Rural,Secondary,
Midlands,Kwekwe,Kwekwe,Gomola,Gomola - 100516 - Clinic,yuQafsH22Bi,ZW070583,ZW07,,,,,,ZHI,,,,,
Matabeleland North,Lupane,Lupane,Gomoza Rural Health Centre,Gomoza - 100517 - Rural Health Centre,t9C5ajv1YF5,ZW050404,ZW05,,,,,10.89.15.3,ZIMTTECH,RHC,Government,Rural,Primary,Open
Mashonaland Central,Mbire,Mbire,Gonono Clinic,Gonono - 100519 - Clinic,no6SbAPoA7s,ZW020831,ZW02,,,,,192.168.10.1,ZIMTTECH,RHC,Rural Council,Rural,Primary,Open
Mashonaland East,Murewa,Murewa,Goso Rural Health Centre,Goso - 100526 - Clinic,pBj3XPhHiO5,ZW030772,ZW03,,,,,,ZIMTTECH,Mission Clinic,Mission,Rural,clinic,Active
Masvingo,Chiredzi,Chiredzi,Gudo RHC,Gudo Clinic,vXMawvhiVWc,ZW080237,ZW08,,,,,,,RHC,Government,Rural,Primary,Open
Mash West,Makonde,Makonde,Gudubu Rural Health Centre,Gudubu - 100538 - Clinic,LtqzRppR0f9,ZW040412,ZW04,,,,,,ZIMTTECH,RHC,Government,Rural,Primary,Open
Matabeleland South,Matobo,Matobo,Gulati Rural Health Center,Gulati - 100540 - Rural Health Centre,kEC31WjP2wR,ZW060581,ZW06,,,,,192.168.10.1,Ophid,RHC,Government,Rural,,
Masvingo,Zaka,Zaka,Gumbo,Gumbo - 100541 - Clinic,dVYZfmaQlZu,ZW080734,ZW08,,,,,192.168.10.1,OPHID/Kapinek,,,,,
Midlands,Gweru,Gweru,Gunde Rural Health Centre,Gunde - 100545 - Clinic,VbSjaVx4t0f,ZW070401,ZW07,,,,,192.168.10.1,ZHI,RHC,Government,Rural,Primary,
Masvingo,Masvingo,Masvingo,Gundura Clinic,Gundura - 100546 - Clinic,hIQLu7ZOrfq,ZW080527,ZW08,,,,,,,Clinic,RDC,Rural,Primary,Open
Matabeleland South,Gwanda,Gwanda,Gungwe RHC,Gungwe - 100548 - Rural Health Centre,KlVFxBUmMPa,ZW060301,ZW06,,,,,192.168.10.1,Ophid,RDC,Government,Rural,,
Masvingo,Gutu,Gutu,Guni Clinic,Guni - 100549 - Clinic,OQocNmXdE6i,ZW08040F,ZW08,,,,,,,RHC,Private,Rural,Primary,Open
Masvingo,Masvingo,Masvingo,Gurajena Rural Health Centre,Gurajena - 100551 - Hospital,Oqk09GQNE6K,ZW080541,ZW08,,,,,192.168.10.1,OPHID/Kapinek,Clinic,Govt,Rural,Primary,Open
Masvingo,Gutu,Gutu,Gutu Mission Hospital,Gutu - 100557 - Mission Hospital,lMPbb0M4NRu,ZW08040E,ZW08,,,,,192.168.10.1,OPHID/Kapinek,Mission Hospital,Mission,Rural,Secondary,Open
Masvingo,Gutu,Gutu,Gutu Rural Hospital,Gutu Rural - 100558 - Clinic,hhrSCqMznTy,ZW08040A,ZW08,,,,,,,Rural Hospital,Government,Rural,Primary,Open
Masvingo,Masvingo,Masvingo,Guwa Rural Health Centre,Guwa - 100559 - Clinic,swgwGmtq9YH,ZW080540,ZW08,,,,,192.168.10.1,OPHID/Kapinek,Clinic,Govt,Rural,Primary,Open
Matabeleland North,Nkayi,Nkayi,Guwe Clinic,Guwe - 100560 - Rural Health Centre,NWqYAWOBoaJ,ZW050532,ZW05,,,,,192.168.10.1,ZIMTTECH,RDC,Town/City Council,Rural,Primary,Open
Matabeleland North,Lupane,Lupane,Gwaai Rural Health Centre,Gwayi Clinic,nEvQQz0S9nn,ZW050492,ZW05,,,,,,ZACH,RDC,Town/City Council,Rural,Primary,Open
Matabeleland South,Insiza,Insiza,Gwanda State University,Gwanda University,nxQavCU6rAf,ZW060408,ZW06,,,,,,Ophid,,,,,
Midlands,Gokwe South,Gokwe South,Gwanyika Rural Health Centre,Gwanyika - 100562 - Rural Health Centre,cBe8uJrLNGC,ZW070301,ZW07,,,,,,,RHC,Government,Rural,Primary,
