Province,District,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,EHR Version,Activation Status,EHR Type,IP Address,Implementing Partner,Type,Ownership,Location,Level,Status
Manicaland,Buhera,Buhera,Buhera Rural Clinic,Buhera - 100099 - Rural Hospital,FRb74ACeEZB,ZW01010A,ZW01,,,,,,,,,,,
Mash West,Mhondoro,Mhondoro,Bumbe - 100101 - Rural Health Centre,Bumbe - 100101 - Rural Health Centre,KmIY36annAZ,ZW040504,ZW04,,,,,,ZIMTTECH,,,,,
Manicaland,Mutare,Mutare,Burma Valley Clinic,Burma Valley - 100103 - Clinic,QBQZTIv1lrz,ZW010545,ZW01,,,,,,,RHC,Rural Council,Rural,Primary,Open
Mash West,Mhondoro,Mhondoro,Bururu - 100105 - Council Clinic,Bururu - 100105 - Council Clinic,Cjt4DyNcEEI,ZW040517,ZW04,,,,,,ZIMTTECH,,,,,
Matabeleland South,Gwanda,Gwanda,Buvuma Clinic,Buvuma - 100107 - Clinic,B7i3EGdTPnj,ZW060325,ZW06,,,,,192.168.10.1,Ophid,RDC,Rural Council,Rural,,
Mashonaland Central,Mt Darwin,Mt Darwin,BVEKE,Bveke - 100108 - Clinic (New - Not Yet Open),IZyeGpfJoyJ,ZW020529,ZW02,,,,,192.168.10.1,ZIMTTECH,COUNCIL CLINIC,COUNCIL,Rural,Primary,Open
Masvingo,Zaka,Zaka,Bvukururu Clinic,Bvukururu - 100110 - Clinic,S6noqN7rl9N,ZW080726,ZW08,,,,,192.168.10.1,OPHID/Kapinek,RHC,Government,Rural,Primary,Open
Manicaland,Mutare,Mutare,Bvumba,Bvumba - 100111 - Private Clinic,U7lWpjEY6EC,ZW010515,ZW01,,,,,192.168.10.2,ZHI,,,,,
Manicaland,Mutare,Mutare,Bwizi Rural Health Centre,Bwizi - 100113 - Clinic,KwpBAMKX07m,ZW010501,ZW01,,,,,,ZHI,RDC,Rural Council,Rural,Primary,Open
Mashonaland East,Goromonzi,Goromonzi,Caledonia Clinic,Caledonia - 100115 - Clinic,fYwjfliQY2j,ZW000A57,ZW00,,,,,,,RDC,Rural Council,Peri-Urban,clinic,Active
