site_id,August,July,September
ZW000222,0,0,1
ZW000A01,1,0,1
ZW000A0D,1,1,0
ZW000A17,1,0,0
ZW000A18,0,1,0
ZW000A21,0,0,1
ZW000A23,1,1,1
ZW000A25,1,1,0
ZW000A27,1,1,0
ZW000A34,0,1,0
ZW000A35,0,1,0
ZW000A38,1,1,1
ZW000A39,0,1,0
ZW000A42,0,1,0
ZW000A45,1,1,0
ZW000A46,1,0,0
ZW000A47,1,1,0
ZW000A52,0,1,0
ZW000A53,0,1,0
ZW000A68,1,1,1
ZW000B01,1,0,0
ZW010102,0,1,0
ZW01010B,1,0,0
ZW010118,1,0,0
ZW010127,1,0,1
ZW010136,1,0,1
ZW010137,1,0,1
ZW01030B,1,1,0
ZW010319,1,1,0
ZW010325,0,1,0
ZW010328,0,1,0
ZW010329,1,1,1
ZW010337,0,1,0
ZW010347,1,0,0
ZW01040B,0,0,1
ZW01040E,0,1,0
ZW010412,0,1,1
ZW010419,1,0,0
ZW010427,0,0,1
ZW010433,1,1,0
ZW010435,1,1,0
ZW010436,1,0,0
ZW010506,0,1,0
ZW01050E,0,1,0
ZW010529,1,0,0
ZW010535,0,1,0
ZW010536,0,1,0
ZW010541,1,1,0
ZW010545,1,0,0
ZW010561,0,1,0
ZW010565,1,1,1
ZW010693,0,0,1
ZW020326,0,1,0
ZW020406,0,0,1
ZW02040E,0,0,1
ZW020425,1,0,1
ZW020447,1,1,1
ZW020475,1,1,1
ZW020488,0,0,1
ZW020489,1,1,0
ZW020491,0,0,1
ZW020501,0,1,1
ZW020502,0,1,0
ZW020506,1,0,0
ZW020507,0,1,0
ZW020508,0,1,0
ZW02050B,1,1,1
ZW020525,0,1,1
ZW020528,0,0,1
ZW020534,0,1,1
ZW020538,0,0,1
ZW02080B,1,1,1
ZW020821,0,1,1
ZW020831,1,0,0
ZW020833,0,1,1
ZW020835,1,0,0
ZW03020D,0,1,0
ZW030245,0,1,0
ZW030280,1,0,0
ZW030325,1,1,1
ZW030328,1,1,1
ZW030333,0,0,1
ZW030339,0,1,1
ZW030503,1,0,1
ZW030701,1,0,1
ZW030706,0,1,0
ZW030723,1,1,1
ZW030724,1,0,0
ZW030731,1,0,0
ZW030749,1,0,0
ZW030750,1,0,1
ZW030990,0,0,1
ZW040105,1,0,1
ZW040129,1,0,0
ZW04060A,1,0,0
ZW04060C,0,1,0
ZW040621,1,0,0
ZW040629,1,0,0
ZW04070A,1,1,0
ZW040776,1,0,0
ZW05020A,0,1,0
ZW050402,0,1,0
ZW05040B,0,1,0
ZW05060A,1,0,1
ZW05060B,0,0,1
ZW050626,1,0,0
ZW050628,1,1,0
ZW050629,0,0,1
ZW050631,0,0,1
ZW050698,1,1,1
ZW050703,0,0,1
ZW050729,0,0,1
ZW050733,0,0,1
ZW060126,0,1,0
ZW060131,0,1,0
ZW060179,1,1,1
ZW060220,1,0,0
ZW060291,1,1,0
ZW060330,1,1,0
ZW060368,1,0,0
ZW060402,0,1,0
ZW060404,0,1,0
ZW060408,0,1,0
ZW06040B,0,1,0
ZW060429,0,1,0
ZW060501,0,1,0
ZW060506,0,1,0
ZW060508,1,1,0
ZW06050B,1,1,1
ZW06050C,1,1,0
ZW060627,1,1,0
ZW060628,1,1,1
ZW060636,0,1,0
ZW060676,0,1,0
ZW060735,0,1,0
ZW070306,0,1,1
ZW07030A,1,1,1
ZW070311,1,1,0
ZW070313,1,1,0
ZW070339,1,1,0
ZW070396,1,1,0
ZW070401,0,1,1
ZW07040C,1,0,0
ZW070414,0,1,0
ZW070423,1,0,1
ZW070427,1,1,0
ZW070462,1,0,0
ZW070463,0,0,1
ZW070464,1,0,0
ZW070467,1,0,0
ZW070491,0,1,0
ZW070505,0,1,0
ZW07050A,0,1,0
ZW07050B,1,1,0
ZW070527,0,1,0
ZW070532,1,1,0
ZW070559,0,1,0
ZW070561,1,1,0
ZW070563,1,1,0
ZW070564,0,1,0
ZW070566,0,1,0
ZW070586,0,1,0
ZW070605,0,1,1
ZW070607,0,1,0
ZW07060B,1,0,0
ZW07060C,0,1,0
ZW07060D,0,1,0
ZW070628,1,1,0
ZW070639,1,1,0
ZW080204,1,1,1
ZW08020A,1,1,0
ZW08020B,1,1,0
ZW080210,1,0,1
ZW080211,0,0,1
ZW080303,1,1,0
ZW080308,1,1,1
ZW08030A,1,1,0
ZW080324,1,0,1
ZW080328,1,0,0
ZW080391,0,1,0
ZW080403,1,0,1
ZW080408,1,0,1
ZW08040E,1,1,0
ZW080425,0,1,0
ZW080493,1,1,1
ZW080506,1,1,0
ZW080507,1,0,0
ZW08050D,0,1,0
ZW080526,0,1,0
ZW080530,1,0,0
ZW080532,0,0,1
ZW080536,1,0,0
ZW080542,0,1,0
ZW080582,0,1,0
ZW080592,1,1,1
ZW080601,1,1,1
ZW080602,1,0,0
ZW080606,1,1,0
ZW080608,1,0,0
ZW08060B,1,0,0
ZW080628,1,0,0
ZW080630,1,0,0
ZW080631,1,0,0
ZW080692,1,1,0
ZW08070A,1,1,1
ZW080726,1,1,0
ZW080737,0,0,1
ZW090A01,0,0,1
ZW090A02,1,0,1
ZW090A03,1,0,0
ZW090A04,1,0,1
ZW090A05,1,0,0
ZW090A11,0,0,1
ZW090A12,1,1,0
ZW090A14,0,0,1
ZW090A17,1,0,0
ZW090A33,1,1,0
ZW090A49,1,1,1
ZW090A66,1,1,0
