Province,District,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID
Mashonaland Central,Mt Darwin,Mt Darwin,CHIBULI,Chibuli-100291- Clinic,DDwUEgfOmvA,ZW020509
Mashonaland Central,Mt Darwin,Mt Darwin,DARWIN HOSPITAL,Mt. Darwin - 101058 - District Hospital,HB7NldDkyx4,ZW02050A
Mashonaland Central,Mt Darwin,Mt Darwin,KARANDA HOSPITAL,Karanda - 100709 - Mission Hospital,zhngjlBBq8a,ZW02050B
Mashonaland Central,Mt Darwin,Mt Darwin,CHAWANDA,Chawanda - 100146 - Clinic,G1nlIWi4Bbv,ZW020525
Mashonaland Central,Mt Darwin,Mt Darwin,KAITANO,Kaitano - 100691 - Clinic,aRgngorjrfa,ZW020526
Mashonaland Central,Mt Darwin,Mt Darwin,NEMBIRE,Nembire - 101226 - Clinic,iZ5hW3G3A2o,ZW020527
Mashonaland Central,Mt Darwin,Mt Darwin,PACHANZA,Pachanza - 101400 - Clinic,jqIsEfJhMfz,ZW020528
Mashonaland Central,Mt Darwin,Mt Darwin,BVEKE,Bveke - 100108 - Clinic (New - Not Yet Open),IZyeGpfJoyJ,ZW020529
Mashonaland Central,Mt Darwin,Mt Darwin,MATOPE,Matope - 100958 - Clinic,Kw1zFMl53yn,ZW020532
Mashonaland Central,Mt Darwin,Mt Darwin,BANDIMBA,Bandimba - 100040 - Rural Health Centre,aUsp0RPHrgn,ZW020533
Mashonaland Central,Mt Darwin,Mt Darwin,CHITSE,Chitse - 100302 - Clinic,ezrtbyWSQiW,ZW020534
Mashonaland Central,Mt Darwin,Mt Darwin,CHITEPO,Chitepo - 100292 - Clinic,iizFNeVVhBs,ZW020535
Mashonaland Central,Mt Darwin,Mt Darwin,MURONGWE,Murongwe Clinic,J6RuoF0hurv,ZW020536
Mashonaland Central,Mt Darwin,Mt Darwin,KANDEYA,Kandeya clinic,yvfEluoF3Bu,ZW020538
Mashonaland Central,Mbire,Mbire,Masoka Clinic,Masoka - 100933 - Clinic,opbhiJq49ON,ZW020801
Mashonaland Central,Mbire,Mbire,Masomo Clinic,Masomo - 100934 - Clinic,JMhCZEU8ORd,ZW020802
Mashonaland Central,Mbire,Mbire,Mushumbi RHC,Mushumbi - 101148 - Clinic,KgEo8UFMjYh,ZW020803
Mashonaland Central,Mbire,Mbire,Chitsungo Mission Hospital,Chitsungo - 100303 - District Hospital,bD6z1vyugsJ,ZW02080B
Mashonaland Central,Mbire,Mbire,Chapoto Clinic,Chapoto - 100135 - Clinic,c4EBHa1fIyB,ZW020820
Mashonaland Central,Mbire,Mbire,Angwa Clinic,Angwa - 100010 - Clinic,KiFPKW2LoT4,ZW020821
Mashonaland Central,Mbire,Mbire,Chikafa Clinic,Chikafa - 100181 - Clinic,taDfBHcDo5L,ZW020830
Mashonaland Central,Mbire,Mbire,Gonono Clinic,Gonono - 100519 - Clinic,no6SbAPoA7s,ZW020831
Mashonaland Central,Mbire,Mbire,Musengezi Clinic,Musengezi Clinic,M4GHS3BEA5l,ZW020832
Mashonaland Central,Mbire,Mbire,Mahuwe Clinic,Mahuwe - 100830 - Clinic,ar7ptby0gUw,ZW020833
Mashonaland Central,Mbire,Mbire,Chirunya Clinic,Chirunya - 100276 - Rural Health Centre,MTFVtgDQ96i,ZW020834
Mashonaland Central,Mbire,Mbire,Nyambudzi Clinic,Nyambudzi - 101343 - Rural Health Centre,sYhGVMgX7PK,ZW020835
Mashonaland Central,Mbire,Mbire,Chidodo Clinic,Chidodo - 100172 - Clinic,rWvbpl1s0VR,ZW020841
Mashonaland East,Goromonzi,Goromonzi,Caledonia Clinic,Caledonia - 100115 - Clinic,fYwjfliQY2j,ZW000A57
Mashonaland East,Goromonzi,Goromonzi,Domboshava Rural Health Centre,Domboshava - 100400 - Clinic,YSrqcKlCQUf,ZW030202
Mashonaland East,Goromonzi,Goromonzi,Mwanza Rural Health Centre,Mwanza - 101195 - Rural Health Centre,VkOjFEfhMcg,ZW030203
Mashonaland East,Goromonzi,Goromonzi,Makumbe District Hospital,Makumbe - 100853 - District Hospital,jAfJAli9ZVn,ZW03020A
Mashonaland East,Goromonzi,Goromonzi,Ruwa Rehab,Ruwa Rehabilitation - 101495 - Hospital,NsK79SSE0GY,ZW03020C
Mashonaland East,Goromonzi,Goromonzi,Chikwaka Rural Hospital,Chikwaka - 100198 - Rural Hospital,il3zin8lfAX,ZW03020D
Mashonaland East,Goromonzi,Goromonzi,Chinamhora Clinic,Chinamhora - 100219 - Clinic,vts8c377DeQ,ZW030225
Mashonaland East,Goromonzi,Goromonzi,Chinyika Clinic,Chinyika - 100242 - Clinic,k8Xcni81ZqV,ZW030226
Mashonaland East,Goromonzi,Goromonzi,Kowoyo Clinic,Kowoyo - 100742 - Clinic,pME5ihuWYf5,ZW030227
Mashonaland East,Goromonzi,Goromonzi,Masikandoro Clinic,Masukandoro - 100936 - Clinic,xfCa24E9UuT,ZW030228
Mashonaland East,Goromonzi,Goromonzi,Bromley Clinic,Bromley - 100093 - Rural Health Centre,PKZ7nK4RQnj,ZW030245
Mashonaland East,Goromonzi,Goromonzi,Henry John Reimer Clinic,John Reimer - 100668 - Clinic,qu3G86fX87g,ZW030247
Mashonaland East,Goromonzi,Goromonzi,Kubatsirana Clinic,Kubatsirana - 100744 - Clinic,ddofD4xrcKS,ZW030248
Mashonaland East,Goromonzi,Goromonzi,Rusike Clinic,Rusike - 101479 - Clinic,CCpDmry9NxC,ZW030249
Mashonaland East,Goromonzi,Goromonzi,St Joseph's Clinic,St. Joseph's - 101631 - Rural Health centre,Kmet2URjvwM,ZW030252
Mashonaland East,Goromonzi,Goromonzi,Ruwa PolyClinic,Ruwa - 101494 - Poly Clinic,egbFP3Ii5TM,ZW030273
Mashonaland East,Goromonzi,Goromonzi,Chabwino Clinic,Chabwino Clinic,x7uSrjLfBIz,ZW030280
Mashonaland East,Goromonzi,Goromonzi,Xanadu,Xanadu Clinic,mE1sxp2Mlzy,ZW030281
Mashonaland East,UMP,UMP,Kafura Rural Health Centre,Kafura - 100688 - Rural Health Centre,jdEFSM3lK1L,ZW030301
Mashonaland East,UMP,UMP,Karimbika Rural Health Centre,Karimbika - 100713 - Rural Health Centre,tK6PvmnXlXx,ZW030302
Mashonaland East,UMP,UMP,Sowa Rural Health Centre,Sowa - 101620 - Rural Health centre,cuSVNGhbKpS,ZW030303
Mashonaland East,UMP,UMP,Marembera Rural Health Centre,Marembera - 100897 - Rural Health Centre,VYh7ERb4cm8,ZW030304
Mashonaland East,UMP,UMP,Mutawatawa District Hospital,Mutawatawa - 101170 - District Hosptal,UrJZsRd5PPS,ZW03030A
Mashonaland East,UMP,UMP,Borera Clinic,Borera - 100084 - Clinic,UmcQPYAl0m4,ZW030325
Mashonaland East,UMP,UMP,Chikuhwa Clinic,Chikuhwa - 100193 - Rural Health Centre,XaZlii1RoeN,ZW030326
Mashonaland East,UMP,UMP,Chipfunde Clinic,Chipfunde - 100253 - Clinic,SDyRVyw5bTp,ZW030327
Mashonaland East,UMP,UMP,Chitimbe Clinic,Chitimbe - 100293 - Clinic,VUCULT4GjUW,ZW030328
Mashonaland East,UMP,UMP,Chitsungo Clinic,Chitsungo - 100304 - Clinic,oIYkbx5fHc7,ZW030329
Mashonaland East,UMP,UMP,Manyika Clinic,Manyika - 100879 - Clinic,TQwkaKG3kHj,ZW030330
Mashonaland East,UMP,UMP,Maramba Clinic,Maramba - 100894 - Clinic,py2bD2jkCI0,ZW030331
Mashonaland East,UMP,UMP,Mashambanhaka Clinic,Mashambanhaka - 100924 - Clinic,tNoou36Gm6h,ZW030332
Mashonaland East,UMP,UMP,Nhakiwa Clinic,Nhakiwa - 101262 - Clinic,YYdg5pabQQ7,ZW030333
Mashonaland East,UMP,UMP,Nyakasoro Clinic,Nyakasoro - 101323 - Clinic,ZBSlEDqH1Qo,ZW030334
Mashonaland East,UMP,UMP,Nyanzou Clinic,Nyanzou - 101370 - Clinic,nNRTd83agCR,ZW030336
Mashonaland East,UMP,UMP,Muskwe Clinic,Muskwe - 101155 - Clinic,jyiZVgDtxFO,ZW030337
Mashonaland East,UMP,UMP,Dewe Council Clinic,Dewe - 100389 - Clinic,nSvEwzl9xRr,ZW030338
Mashonaland East,UMP,UMP,Tsokodeka clinic,Tsokodeka clinic,IDPxxc6H5rJ,ZW030339
Mashonaland East,UMP,UMP,Hombiro Clinic,Hombiro Clinic,Jv9z4R9jYGY,ZW030340
Mashonaland East,UMP,UMP,Dindi Clinic,Dindi - 100392 - Mission Hospital,H4QiZSaiFt1,ZW030391
Mashonaland East,Marondera,Marondera,Border Church Rural Health Centre,Border Church - 100083 - Rural Health Centre,irD497FF3PV,ZW030501
Mashonaland East,Marondera,Marondera,Chimbwanda Rural Health Centre,Chimbwanda - 100212 - Rural Health Centre,RmTXZhMHgQJ,ZW030502
Mashonaland East,Marondera,Marondera,Dimbiti Rural Health Centre,Dimbiti - 100390 - Rural Health Centre,cxkXNo5Bctw,ZW030503
Mashonaland East,Marondera,Marondera,Kushinga Phikhelela Rural Health Centre,Kushinga Phikelela - 100749 - Clinic,f4uKZhvCUTc,ZW030504
Mashonaland East,Marondera,Marondera,Mudzimurema Rural Health Centre,Mudzimuirema - 101084 - Rural Health Centre,d4wPf8dhlPQ,ZW030505
Mashonaland East,Marondera,Marondera,Wenimbi Rural Health Centre,Wenimbe - 101771 - Rural Health Centre,SNzJDnz5e9q,ZW030506
Mashonaland East,Marondera,Marondera,Chiota Rural Hospital,Chiota - 100247 - Rural Hospital,d7gKjgLmPHF,ZW03050B
Mashonaland East,Marondera,Marondera,Mahusekwa District Hospital,Mahusekwa - 100829 - Hospital,YBLoHaAmcFN,ZW03050C
Mashonaland East,Marondera,Marondera,Borradaile Pvt Hospital,Borradaile Pvt Hospital,ufU65NdtPOw,ZW03050D
Mashonaland East,Marondera,Marondera,Masikana Council Clinic,Masikana - 100929 - Clinic,aFOZQYiMlJL,ZW030525
Mashonaland East,Marondera,Marondera,Marondera Rural Council Clinic,Marondera - 100902 - Rural Clinic,e7yLZBqvLeh,ZW030528
Mashonaland East,Marondera,Marondera,Chipararwe Council Clinic,Chiparawe - 100250 - Clinic,fc6CsjpLvS6,ZW030529
Mashonaland East,Marondera,Marondera,Lustleigh Council Clinic,Lustliegh - 100784 - Clinic,VtpGw8NPT7u,ZW030530
Mashonaland East,Marondera,Marondera,Igava Council Clinic,Igava - 100627 - Clinic,IIA4YLWqC6F,ZW030545
Mashonaland East,Marondera,Marondera,Dombotombo Council Clinic,Dombotombo - 100401 - Clinic,oKyc3dnc5sJ,ZW030561
Mashonaland East,Marondera,Marondera,Nyameni Council Clinic,Nyameni - 101344 - Clinic,zfgVw4bp8ku,ZW030562
Mashonaland East,Marondera,Marondera,Nyembanzvere Council Clinic,Nyembanzvere - 101383 - Clinic,Nrsc0aw1ptH,ZW030563
Mashonaland East,Marondera,Marondera,Waddilove Clinic,Waddilove - 101755 - Clinic,S3SoJCAyzta,ZW030586
Mashonaland East,Marondera,Marondera,Rakodzi Pvt Clinic,Rakodzi - 101439 - Clinic,SjtSjc51A3E,ZW030588
Mashonaland East,Marondera,Marondera,Arcadia Rural Council Clinic,Arcadia Rural Council Clinic,Dj7yYZyni8C,ZW030591
Mashonaland East,Murewa,Murewa,Chitate Rural Health Centre,Chitate - 100290 - Rural Health Centre,eG8FExPZMv1,ZW030701
Mashonaland East,Murewa,Murewa,Jekwa Rural Health Centre,Jekwa - 100657 - Rural Health Centre,FjEmBSTJkXT,ZW030703
Mashonaland East,Murewa,Murewa,Kadenge Rural Health Centre,Kadenge - 100680 - Rural Health Centre,MiLexqDZjQJ,ZW030704
Mashonaland East,Murewa,Murewa,Munamba Rural Health Centre,Munamba - 101105 - Rural Health Centre,ylh5zzWxRDn,ZW030706
Mashonaland East,Murewa,Murewa,Murewa Gvt District Hospital,Murewa - 101129 - District Hospital,Z0DMs3KU6oN,ZW03070A
Mashonaland East,Murewa,Murewa,St Paul's Musami Mission Hospital,St. Paul's Musami - 101638 - Mission Hospital,IV1N9v5bKiL,ZW03070B
Mashonaland East,Murewa,Murewa,Nhowe Mission Hospital,Nhowe - 101270 - Mission Hospital,KHym7Le7S6g,ZW03070C
Mashonaland East,Murewa,Murewa,Murewa Polyclinic,Murewa - 101128 - Poly Clinic,l7xNQF9S63C,ZW030722
Mashonaland East,Murewa,Murewa,Chitowa 1 Clinic,Chitowa 1 - 100298 - Rural Health Centre,aVxN3fDFGhM,ZW030723
Mashonaland East,Murewa,Murewa,Chitowa 2 Clinic,Chitowa 2 - 100299 - Clinic,LHSm0lh6M97,ZW030724
Mashonaland East,Murewa,Murewa,Kadzere Rural Health Centre,Kadzere - 100686 - Clinic,CbmWNb9Tcpi,ZW030727
Mashonaland East,Murewa,Murewa,Nyamutumbu Rural Health Centre,Nyamutumbu - 101358 - Clinic,kZhh1BmkC6d,ZW030728
Mashonaland East,Murewa,Murewa,Shambamuto Rural Health Centre,Shambamuto - 101550 - Clinic,VLPYm5c0jgN,ZW030729
Mashonaland East,Murewa,Murewa,Matututu Clinic,Matututu - 100964 - Rural Health Centre,h3HNN5Uo4Wt,ZW030731
Mashonaland East,Murewa,Murewa,Macheke Clinic,Macheke - 100799 - Clinic,cdZowZBWgqY,ZW030745
Mashonaland East,Murewa,Murewa,Virginia Clinic,Virginia Clinic - 101742 - Clinic,dsOsw05zvg2,ZW030746
Mashonaland East,Murewa,Murewa,Waterloo Clinic,Waterloo - 101762 - Clinic,WdsXmSQA2PZ,ZW030747
Mashonaland East,Murewa,Murewa,Kambarami Rural Health Centre,Kambarami - 100693 - Clinic,LEyBzwRbqB1,ZW030749
Mashonaland East,Murewa,Murewa,Muchinjike Rural Health Centre,Muchinjike - 101079 - Rural Health Centre,ic2VBm6nv6a,ZW030750
Mashonaland East,Murewa,Murewa,Goso Rural Health Centre,Goso - 100526 - Clinic,pBj3XPhHiO5,ZW030772
Mashonaland East,Seke,Seke,Acton Reynolds Rural Health Centre,Acton Ronolds - 100002 - Rural Health Centre,UtIHziKXtX0,ZW030901
Mashonaland East,Seke,Seke,Zhakata Rural Health Centre,Zhakata - 101788 - Rural Health Centre,chIGBlc6iFM,ZW030902
Mashonaland East,Seke,Seke,Masasa Rural Health Centre,Masasa - 100917 - Rural Health Centre,JDRHYfbYFJE,ZW030905
Mashonaland East,Seke,Seke,Beatrice Rural Hospital,Beatrice - 100049 - Rural Hospital,v41G3HJvF4A,ZW03090A
Mashonaland East,Seke,Seke,Kunaka Hospital,Kunaka - 100746 - Rural Hospital,OU0gHuwRZtW,ZW03090B
Mashonaland East,Seke,Seke,Jonasi Clinic,Jonasi - 100673 - Clinic,XvaFMjND2A3,ZW030922
Mashonaland East,Seke,Seke,Makanyazingwa Clinic,Makanyazingwa Clinic,U1AEf47KS9d,ZW030923
Mashonaland East,Seke,Seke,Marirangwe Clinic,Marirangwe - 100899 - Clinic,Ai2GEHQJ2iq,ZW030924
Mashonaland East,Seke,Seke,Muda Clinic,Muda - 101080 - Clinic,o5kCOvuHFbM,ZW030925
Mashonaland East,Seke,Seke,Epworth Polyclinic,Epworth - 100451 - Poly Clinic,Dr2dULfqvTS,ZW030926
Mashonaland East,Seke,Seke,Overspill Clinic,Overspill - 101399 - Satellite Clinic,QTYLtlbWtEc,ZW030927
Mashonaland East,Seke,Seke,Epworth Mission Clinic,Epworth - 100452 - Mission Clinic,EC7WzIzlIiy,ZW030990
Mashonaland West,Chegutu,Chegutu,Monera Rural Health Centre,Monera - 101033 - Council Clinic,Pj8Kuw1CNhE,ZW040104
Mashonaland West,Chegutu,Chegutu,Musinami Rural Health Centre,Musinami - 101151 - Rural Health Centre,Ihe6efhYbFJ,ZW040106
Mashonaland West,Chegutu,Chegutu,Chegutu District Hospital,Chegutu - 100153 - District Hospital,IIjgprykVWn,ZW04010A
Mashonaland West,Chegutu,Chegutu,Mhondoro Rural Hospital,Mhondoro - 101015 - Rural Hospital,d6ywbdGkzaO,ZW04010B
Mashonaland West,Chegutu,Chegutu,Norton Hospital,Norton - 101291 - Hospital,nhjrpXRP9Mk,ZW04010C
Mashonaland West,Chegutu,Chegutu,Chivero Clinic,Chivero - 100312 - Council Clinic,WlGebuwqSYe,ZW040126
Mashonaland West,Chegutu,Chegutu,Mhondoro North Clinic,Mhondoro North - 101016 - Council Clinic,F7EVUaZPD8U,ZW040127
Mashonaland West,Chegutu,Chegutu,Watyoka Clinic,Watyoka - 101763 - Council Clinic,ZlGUHP6gHLu,ZW040130
Mashonaland West,Chegutu,Chegutu,Selous Clinic,Selous - 101537 - Council Clinic,XetOsDWPjg2,ZW040133
Mashonaland West,Chegutu,Chegutu,Chegutu Clinic,Chegutu CBDS Clinic,XmPVYkmHx6D,ZW040145
Mashonaland West,Chegutu,Chegutu,Katanga Utano Clinic,Katanga utano - 100719 - Municipality,AovMStawZQF,ZW040147
Mashonaland West,Chegutu,Chegutu,Pfupajena Munic Clinic,Pfupajena - 101416 - Council Clinic,EASWD2odoBX,ZW040161
Mashonaland West,Chegutu,Chegutu,Chinengundu Clinic,Chinengundu - 100225 - Clinic,cie0TDpTUmD,ZW040162
Mashonaland West,Chegutu,Chegutu,Brunswick Clinic,Brunswick - 100094 - Clinic,dMjkmGmNgG9,ZW040180
Mashonaland West,Chegutu,Chegutu,Padre Pio Poly Clinic,Padre Pio Poly Clinic,GROS5u0jUHX,ZW040189
Mashonaland West,Hurungwe,Hurungwe,Chivende Rural Health Centre,Chivende - 100311 - Clinic,p5eSg7zH2Ua,ZW040202
Mashonaland West,Hurungwe,Hurungwe,Masanga Rural Health Centre,Masanga - 100913 - Gvt Clinic,k8PBGr2DIPd,ZW040205
Mashonaland West,Hurungwe,Hurungwe,Zvipani Rural Health Centre,Zvipani - 101827 - Clinic,kBWmV90JkOu,ZW040206
Mashonaland West,Hurungwe,Hurungwe,Karoi District Hospital,Karoi - 100715 - District Hospital,VNjdYsWixGj,ZW04020A
Mashonaland West,Hurungwe,Hurungwe,Mwami Rural Hospital,Mwami - 101194 - Hospital,Pr38K304mkU,ZW04020C
Mashonaland West,Hurungwe,Hurungwe,Chidamoyo Mission Hospital,Chidamoyo - 100169 - Mission Hospital,BE3pL9m9Z4E,ZW04020D
Mashonaland West,Hurungwe,Hurungwe,Chinhere Clinic,Chinhere - 100232 - Council Clinic,ImqILPZv3dP,ZW040225
Mashonaland West,Hurungwe,Hurungwe,Chundu Clinic,Chundu - 100334 - Council Clinic,YcnSBJxA8OR,ZW040226
Mashonaland West,Hurungwe,Hurungwe,Kazangarare Clinic,Kazangarare - 100727 - Gvt Council,qUHcE4ErSLH,ZW040227
Mashonaland West,Hurungwe,Hurungwe,Nyamakate Clinic,Nyamakaze - 101329 - Clinic,YErstr7uJhc,ZW040228
Mashonaland West,Hurungwe,Hurungwe,Murambe Clinic,Murambi - 101122 - Clinic,MhfDeBvNapW,ZW040234
Mashonaland West,Hurungwe,Hurungwe,Moy RDC Clinic,Moy RDC Clinic,zsDKyIf4vbl,ZW040235
Mashonaland West,Hurungwe,Hurungwe,Nyama clinic,Nyama - 101327 - Council,Krolm8Hf65t,ZW040236
Mashonaland West,Hurungwe,Hurungwe,Helwin Clinic,Hewiyai - 100592 - Council Clinic,FErcn3drSxC,ZW040245
Mashonaland West,Hurungwe,Hurungwe,Hesketh Clinic,Hesketh - 100591 - Council Clinic,P7NGBmcP9C5,ZW040246
Mashonaland West,Hurungwe,Hurungwe,Tengwe Clinic,Tenewe - 101683 - Council Clinic,z0mAJulIVSB,ZW040249
Mashonaland West,Hurungwe,Hurungwe,Karoi Static Clinic,Karoi Static -101847 - Clinic,fu7mCEGiPDN,ZW040261
Mashonaland West,Hurungwe,Hurungwe,Kapfunde Clinic,Kapfunde - 100706 - Council Clinic,FlnO6SLGkoS,ZW040291
Mashonaland West,Hurungwe,Hurungwe,Kasimure RHC,Kasimube - 100717 - Rural Health Centre,IE7VibyIDHH,ZW040294
Mashonaland West,Hurungwe,Hurungwe,Doro Clinic,Doro - 100413 - Clinic,hJfPQt6G26t,ZW040299
Mashonaland West,Hurungwe,Hurungwe,Hurungwe Rural Hospital,Hurungwe - 100619 - Rural Hospital,iaOOpWV2fiF,ZW0402OB
Mashonaland West,Sanyati,Sanyati,Sanyati RDC Clinic,Sanyati ARDA - 101861 - Clinic,esbcJZ4OrBM,ZW040330
Mashonaland West,Sanyati,Sanyati,Rimuka Municipal Clinic,Rimuka - 101452 - Clinic,IsQV9DqeQUB,ZW040361
Mashonaland West,Makonde,Makonde,Kenzamba Rural Health Centre,Kenzamba - 100731 - Clinic,GW3nlgDs9xm,ZW040406
Mashonaland West,Makonde,Makonde,Murereka Rural Health Centre,Murereka - 101127 - Clinic,e8DVLtd2Bvv,ZW040407
Mashonaland West,Makonde,Makonde,Chinhoyi Provincial Hospital,Chinhoyi - 100235 - Provincial Hospital,Jna4eqryjis,ZW04050A
Mashonaland West,Makonde,Makonde,St Rupert's Mission Hospital,St. Rupert's - 101650 - Mission Hospital,p98IRYc0Y2A,ZW04040B
Mashonaland West,Makonde,Makonde,Makonde Christ Hosp,Makonde Christian - 100848 - Mission Hospital,OkTXq7ukdO3,ZW04040D
Mashonaland West,Makonde,Makonde,Doma RDC Clinic,Doma - 100397 - Clinic,QkRUl86fEkn,ZW040445
Mashonaland West,Makonde,Makonde,Umboe RDC Clinic,Umboe - 101724 - Clinic,kaqOR3BnVSQ,ZW040448
Mashonaland West,Makonde,Makonde,Chinhoyi Munic Clinic,Chinhoyi Clinic - 100233 - Clinic,FEkAkg5Ev7k,ZW040461
Mashonaland West,Makonde,Makonde,Chikonohono Munic Clinic,Chikonohono - 100190 - Clinic,Sad5NyxeroB,ZW040462
Mashonaland West,Makonde,Makonde,Alaska Munic Clinic,Alaska - 100005 - Clinic,gJr4bpmVlAZ,ZW040463
Mashonaland West,Makonde,Makonde,Manyamba Rural Health Centre,Manyamba - 100875 - Clinic,EeHMROYRaAD,ZW040487
Mashonaland West,Makonde,Makonde,Kanyaga RDC Clinic,Kanyanga - 100702 - Clinic,AAZhENxl6fW,ZW040488
Mashonaland West,Mhondoro,Mhondoro,Donain Rural Health Centre,Donain - 100405 - Rural Health Centre,yraPEOZeIxX,ZW040502
Mashonaland West,Mhondoro,Mhondoro,Ngezi (mhondoro) Rural Hospital,Ngezi - 101251 - Rural Hosp,vUkB35RhitH,ZW04040A
Mashonaland West,Mhondoro,Mhondoro,St Michael's Mission Hospital,St. Michaels - 101646 - Mission Hospital,OXgwxM8Md7I,ZW04050B
Mashonaland West,Mhondoro,Mhondoro,Chingondo RDC Clinic,Chingondo - 100229 - Clinic,Psij86nmKUz,ZW040518
Mashonaland West,Mhondoro,Mhondoro,Murambwa RDC Clinic,Murambwa - 101125 - Council clinic,Ni4JXZ8ecnx,ZW040523
Mashonaland West,Mhondoro,Mhondoro,Turf Estate RDC Clinic,Turf - 101719 - Council Clinic,mCZQYXcx1VM,ZW040524
Mashonaland West,Mhondoro,Mhondoro,Twintops RDC Clinic,Twin Tops - 101722 - Clinic,keqEqznmGNE,ZW040525
Mashonaland West,Sanyati,Sanyati,Kadoma General Hospital,Kadoma - 100681 - District Hosp,wOpjGYcTm6P,ZW04060A
Mashonaland West,Sanyati,Sanyati,Sanyati Mission Hospital,Sanyati - 101527 - Mission Hospital,xDDGSZFaGY5,ZW04060C
Mashonaland West,Zvimba,Zvimba,Mutorashanga RDC Hospital,Mtorashanga - 101072 - Hospital,z8IQ5wyJfwO,ZW04060F
Mashonaland West,Sanyati,Sanyati,Ordoff RDC Clinic,Ordoff - 101398 - Council Clinic,syAdkEdGSLS,ZW040623
Mashonaland West,Sanyati,Sanyati,Patchway RDC Clinic,Patchway - 101408 - Mine Clinic,shA3RikpDNe,ZW040624
Mashonaland West,Sanyati,Sanyati,Ingezi clinic,Ingezi - 100636 - Municipality,C78N7IY0RQT,ZW040636
Mashonaland West,Sanyati,Sanyati,Rimuka MCH Municipal Clinic,Rimuka MCH Municipal Clinic,qEDMf2epK2V,ZW040637
Mashonaland West,Sanyati,Sanyati,Waverly Municipal Clinic,Waverly - 101764 - Clinic,oiEL7cgDRNN,ZW040639
Mashonaland West,Sanyati,Sanyati,Chakari Mine Clinic,Chakari - 100125 - Mine Clinic,sWdIWNMmkKd,ZW040689
Mashonaland West,Zvimba,Zvimba,Banket District Hospital,Banket - 100044 - District Hospital,kyFYqZ69z50,ZW04070A
Mashonaland West,Zvimba,Zvimba,Darwendale Rural Hospital,Darwendale - 100368 - Rural Hospital,NfFDWgYghbO,ZW04070C
Mashonaland West,Zvimba,Zvimba,Raffingora Rural Hospital,Raffingora - 101437 - Rural Hospital,Adrn5wepICh,ZW04070D
Mashonaland West,Zvimba,Zvimba,Father O'Hea Mission Hospital,Father O'Hea - 100463 - Mission Hospital,pw6aAMuYZOz,ZW04070E
Mashonaland West,Zvimba,Zvimba,Zvimba Rural Hospital,Zvimba - 101826 - Rural Hospital,AePpRuUfCzM,ZW04070G
Mashonaland West,Zvimba,Zvimba,Madzorera RDC Clinic,Madzorera - 100817 - Clinic,FsqaXprbYyV,ZW040728
Mashonaland West,Zvimba,Zvimba,Kutama RDC Clinic,Kutama - 100750 - Council Clinic,SZfZ586Bl1Q,ZW040743
Mashonaland West,Zvimba,Zvimba,Kuwadzana RDC Clinic,Kuwadzana Phase 4 -101851- Clinic,dArzb8heLtw,ZW040744
Mashonaland West,Zvimba,Zvimba,Mount Hampden RDC Clinic,Mt. Hampden - 101059 - Clinic,IM2c57bchDp,ZW040745
Mashonaland West,Zvimba,Zvimba,Nyabira RDC Clinic,Nyabira RDC Clinic,RHcb8botGLq,ZW040746
Mashonaland West,Zvimba,Zvimba,TRB RDC Clinic,TRBC - 101703 - Council Clinic,xwXASQ58xET,ZW040747
Mashonaland West,Zvimba,Zvimba,Trelawney RDC Clinic,Trelawney - 101704 - Council Clinic,fyCd86t36uQ,ZW040748
Mashonaland West,Zvimba,Zvimba,Sutton RDC Clinic,Sutton - 101661 - Mine Clinic,FsRYRzS6zYQ,ZW040777
Mashonaland West,Zvimba,Zvimba,Dzivaresekwa gvt Clinic,Dzivarasekwa Extension - 100428 - Clinic,XwzKYKZooxk,ZW040780
Mashonaland West,Zvimba,Zvimba,Mapinga RDC Clinic,Mpinga Clinic - 101043 - Clinic,NcZpdLLxlKu,ZW040783
Mashonaland West,Zvimba,Zvimba,Herbert Chitepo,Herbert Chitepo,Hiy4IS8bwoM,ZW040794
Masvingo,Chiredzi,Chiredzi,Chambuta Clinic,Chambuta - 100131 - Clinic,Ah71A5p6U9l,ZW080201
Masvingo,Chiredzi,Chiredzi,Chilonga Rural Health Centre,Chilonga - 100206 - Clinic,kOc9rm7UnpQ,ZW080202
Masvingo,Chiredzi,Chiredzi,Chizvirizvi Rural Health Centre,Chizvirizvi - 100329 - Clinic,c4XotWaksY0,ZW080204
Masvingo,Chiredzi,Chiredzi,Davata Rural Health Centre,Davata - 100370 - Clinic,TWQYlcVIUbh,ZW080205
Masvingo,Chiredzi,Chiredzi,Gezani Rural Health Centre,Gezani - 100502 - Clinic,FZFi6UbvoAK,ZW080206
Masvingo,Chiredzi,Chiredzi,Malipati Rural Health Centre,Malipati - 100861 - Rural Health Centre,pnbUOG9jvyE,ZW080207
Masvingo,Chiredzi,Chiredzi,Mhlanguleni Rural Health Centre,Mahlanguleni - 100827 - Clinic,T5GUOFScrzV,ZW080208
Masvingo,Chiredzi,Chiredzi,Muteyo Rural Health Centre,Muteyo - 101176 - Clinic,YCwmksrQv9l,ZW080209
Masvingo,Chiredzi,Chiredzi,Chiredzi District Hospital,Chiredzi - 100264 - Hospital,cnqg74tvFv1,ZW08020A
